grzöü|özgür,örgü,özgü,özür,göz
beiikntş|bitkin,beşik,bitik,bitiş,bitki,kişi,beş
degikzöü|gedik,gözde,gezi,göze,öküz,özgü,dök
eiiknpsç|seçkin,seçki,çekin,için,pisi,skeç,çip
beiiklnr|benlik,binlik,birlik,renkli,belki,biner,kibir
aabptyış|başyapıt,bayat,başta,yapış,paşa,taşı,yapı
aceiikmn|makineci,makine,acemi,minik,cami,ince,nice
abemrtuş|amber,barut,meşru,tabur,şubat,ebru,şube
cgnosuuy|soyguncu,oyuncu,soygun,soyun,uygun,yosun,sunu
bcknouuç|boncukçu,boncuk,buçuk,çocuk,çubuk,konu,uçuk
eefiklst|iskelet,iskele,teklif,efekt,kefil,sefil,telif
aelnsyöş|şansölye,söyle,şölen,şöyle,eşya,şans,yön
aafilnns|finansal,finans,falan,filan,iflas,insan,nisan
aegimntz|ganimet,gizem,temiz,zaten,gazi,imge,mega
aadkmszı|damaksız,damak,kasım,sakız,asık,azı,sık
aehlmtuç|hamlet,meçhul,muhtaç,hamle,metal,haç,hem
aaeilmty|ameliyat,maliyet,alamet,maliye,talim,yetim,elit
diiiklmş|şimdilik,ilişki,dikiş,dilim,dişli,iklim,şimdi
aeikloty|kalite,kolay,kolye,yetki,akil,alto,okey
clnosuuy|soylu,yolcu,oyun,sulu,uslu,usul,soy
abekllnu|kabullen,kullan,bunak,kabul,abuk,kule,bul
aalnprtı|pırlanta,anlatı,pınar,pala,tıpa,art,tıp
aaknpyyı|kapan,kayıp,yapay,yayın,ayıp,kanı,yaya
aeefilns|efsane,enfes,esnaf,final,nefes,nefis,lenf
alnouyçğ|oğlan,yoğun,çoğul,oğul,çoğu,yağ,çan
adeiilst|idealist,iadeli,istila,delta,deli,dile,iade
adeinvyü|dünyevi,devin,dünya,vadi,vida,üvey,dün
eeegkrtç|gerçekte,gerekçe,gerçek,reçete,geçer,çeker,çete
eiikklnt|etkinlik,etkili,kentli,klinik,teknik,kilit,tilki
aegirtyz|ziyaret,gayret,gayet,gayri,gitar,terzi,gaz
aakknyış|kaynak,kanka,kayak,kayık,kaşık,kıyak,şayan
bdeilmno|melodi,mendil,demin,denim,limon,mobil,model
aadkorst|akort,kadro,ortak,sakat,dart,data,dost
acemnrtü|tercüman,mercan,cüret,tümce,tümen,ücret,ücra
aadmrszı|damarsız,arıza,damar,drama,sarma,asır,dram
aalmstğı|sağlam,astım,atlas,lağım,sağla,sıtma,tasma
ckklouuç|çocukluk,çocuklu,çocuk,çoklu,koku,uçuk,çok
aaflnosy|falan,oyala,salon,salya,sayfa,oysa,soya
deeiknçğ|değnek,değin,çiğne,dinç,eğik,çene,çiğ
aikmorty|atomik,miktar,kimya,koyar,mikro,ortam,tomar
cegilmzö|gözlemci,gözlem,gizem,gözle,ölmez,gezi,göze
aaahntvy|hayvanat,hayvan,havan,hayat,tavan,vatan,yavan
aaklosğı|sağlık,olası,solak,ıslak,sağ,sol,sığ
aikmnorş|kaşmir,ikram,inkar,orman,roman,mika,koş
aeklmnsu|kumsal,manuel,keman,maske,mekan,selam,kule
abhiirsz|sihirbaz,bariz,biraz,harbi,ihbar,sihir,izah
aablmğış|bağışla,bağlam,aşağı,bağla,bağlı,bağış,başla
aehilmnı|hamile,halen,halim,hamle,hanım,ihmal,ilham
aeikmssz|maskesiz,kesim,kimse,mesai,sekiz,esas,mazi
eikknort|kertik,kriket,kronik,teknik,teorik,roket,kork
abeinosz|abonesiz,bazen,besin,sezon,ezan,obez,biz
ekmrstöü|sektör,kömür,kümes,sürme,tümör,kötü,ömür
aaehilmy|hayali,maliye,hayal,hayli,mahal,imha,hem
aaelnpst|planet,aslen,palet,panel,paten,sapan,talep
aikrstuv|aktris,tasvir,kutsa,tavuk,tavus,vakit,varis
eeinnrtt|internet,eter,nene,nere,nine,eri,ret
acklryıı|ayrılık,acıklı,akılcı,aykırı,kalıcı,alıcı,arıcı
deeknorş|dekore,derken,dernek,dekor,drone,şeker,şoke
cegiikln|gelincik,incelik,nicelik,gelin,ikile,ilgi,ince
ckmortuu|korucu,oturum,komut,kurum,moruk,kutu,umut
aaeklstu|asalet,kutsal,taslak,kaset,katla,takas,kast
aaehikmn|makine,ahenk,hakem,hakim,hekim,kahin,nikah
abikknor|karbon,baron,kabin,kobra,konak,kari,kobi
aabekmru|kambur,kamera,ambar,amber,burma,krema,ebru
efiiklsz|fiziksel,kilise,fizik,kefil,sefil,ezik,file
dekklnöü|dönek,dönük,köken,ödlek,önlük,ödün,kök
aablnort|oranla,balon,baton,taban,tablo,torba,baro
aackortı|oracıkta,aracı,karo,koca,ocak,orta,toka
aceiklrv|kaleci,evcil,evrak,varil,vekil,viral,cila
adeeitvy|davetiye,tedavi,davet,detay,diyet,deve,evet
aaikmnor|karina,marina,ikram,imkan,mikro,orman,roman
eemnrtöğ|öğretmen,teğmen,meğer,tören,öğren,öğret,eğer
aaeilmnz|analiz,imzala,menzil,enzim,zalim,zaman,zemin
aabckszı|bacaksız,sabıka,bacak,baskı,sıcak,bazı,caz
aadekrtv|karate,kravat,adeta,avare,kader,dert,deva
begirszü|gübresiz,gübre,sergi,sezgi,siber,üzeri,gezi
aabikors|asabi,bakir,basar,borsa,kabir,kibar,boks
abkoszğı|boğaz,kabız,sakız,ağız,boğa,soba,bak
defikloz|defol,izole,filo,folk,idol,def,doz
aahkmrtu|muhtar,armut,hamur,hurma,marka,rahat,kurt
aaeiklrt|kalite,kartal,kartel,terlik,aktar,atari,kiler
akllsğıı|sağlıklı,akıllı,sağlık,saklı,ıslık,sıkı,sığ
aahklnrı|ahlak,hakla,haklı,kalın,halk,halı,hak
iiklyzüü|ikiyüzlü,yüzlük,yüklü,yüzük,ilik,yük,yüz
adegimrs|adres,dergi,gider,miras,gemi,gram,mega
aadgmnor|dragon,damga,drama,manga,mango,organ,gama
aabklnuş|başkan,anlaş,bakan,başak,başka,başla,bunak
bdegiilr|bildir,bilgi,bilir,girdi,lider,diri,gibi
abklnyıı|bakın,balık,bıyık,yakın,yanık,bank,kıyı
aaeklrrt|tekrarla,krater,tekrar,karar,karla,takla,tarla
aadimnnr|mandarin,marina,daima,damar,dinar,idman,narin
akknrtıı|akıntı,tırnak,katkı,kırık,kırın,kıtır,tıkır
klloptuu|topluluk,okullu,kutup,toplu,topuk,okul,topu
aaeeflms|maalesef,mesafe,mesela,elmas,selam,alfa,faal
aadklnrı|aralık,kaldır,adalı,adına,andır,kadar,kadın
ainnosty|tansiyon,anons,insan,isyan,nisan,oynat,tayin
achlryıı|hayırlı,halıcı,alıcı,arıcı,hayır,hıyar,hacı
ahiiilmt|ihtimali,ihtimal,halim,ihmal,ilham,itham,limit
aeikprrt|pratik,terapi,akrep,paket,parti,rakip,tepki
adeknotv|davet,dekan,kovan,deva,kova,nova,veto
aaakltyı|ayakta,yakala,alaka,katlı,katıl,kayıt,yakıt
adhoprtu|hurda,pudra,harp,tapu,turp,dut,hop
aahitvyş|hayati,havai,hayat,vahiy,vahşi,yavaş,şahit
aaikmort|atomik,miktar,mikro,ortam,tamir,tomar,krom
ackmruuç|kurum,uçmak,çamur,çukur,cuma,uçar,uçur
aefiktyı|kıyafet,afiyet,kafiye,aktif,fiyat,keyfi,keyif
deegklnö|ödenek,denge,dönek,ödlek,dök,dön,gök
aabhilss|bilhassa,asabi,ishal,sabah,sahil,salsa,silah
aadelnst|dantel,sandal,adeta,delta,lanet,adet,sade
akmrrtuı|kurtar,kuram,kırma,martı,takım,tarım,ırmak
aabklmot|tombala,kablo,lokma,tabak,tablo,kaba,kot
aiiklmpt|iklim,iplik,iptal,kitap,takip,tipik,tipi
eekkrtüş|teşekkür,şükret,erkek,keşke,kürek,ürkek,kürk
eiiklrtç|etkili,terlik,içeri,kireç,çekil,çelik,çilek
bceiinnz|benzinci,benzin,bizce,zenci,izci,izin,biz
aaiklnrt|antika,karina,kartal,inkar,lakin,lira,kin
einorsvy|versiyon,sinyor,reyon,serin,sevin,seyir,veri
aeikllvy|klavyeli,klavye,ilave,ilkel,vekil,villa,veya
aadlnyzı|dayalı,yalnız,adına,aydın,yazın,zanlı,yazı
aaklnstı|kanıtla,anlatı,saklan,taslak,aksan,saklı,ıslak
abdeeity|edebiyat,diyabet,ibadet,detay,diyet,ebedi,edebi
aiiklmnz|ikmal,malik,minik,nazik,zalim,ikiz,imza
elrstçöü|süreç,ölçüt,ülser,röle,ölçü,örtü,çöl
agknrsıı|kırgın,kırın,kısır,sakın,sanık,sargı,sınır
beeilrsy|bireysel,elbise,besle,birey,siber,yerel,yerli
aekmrsış|asker,kamış,karış,karşı,maske,şarkı,marş
aaddemny|meydanda,meydan,madde,maden,medya,maya,yama
eelnoprs|personel,porselen,polen,prens,eser,nere,spor
aabkklnu|bakkal,kalkan,bunak,kabak,kabuk,kukla,kulak
aglmoruı|omurgalı,omurga,largo,marul,gram,olgu,olur
alortuyğ|yoğurt,tuğla,oğul,rulo,uğra,yurt,yağ
aeekmrzü|müzakere,merkez,erzak,mezar,üzere,müze,üzme
eegikmnr|kemirgen,migren,ergen,gerek,kemer,gemi,imge
deeginsz|dengesiz,denge,deniz,desen,sezgi,zinde,gezi
adeiorvy|daire,devir,devri,radyo,video,yaver,avro
aeknnors|senkron,kanser,konser,korsan,anons,nane,neon
aadhruyı|duyar,hayır,hurda,hıyar,uyarı,yahu,huy
aeiklstv|kasvetli,lastik,evlat,vakit,vekil,vites,vals
egiiprçş|gerçi,geçiş,giriş,pişir,grip,işçi,çip
aeilmttz|atletizm,atlet,metal,tatil,temiz,azim,taze
aaclnptı|patlıcan,plancı,altın,canlı,tapan,anca,cana
aceegitz|gazeteci,gazete,aciz,ceza,gazi,gece,icat
aahilstt|tahsil,hatta,ishal,itaat,sahil,tahta,taht
adhkmrüü|hükümdar,dürüm,hüküm,müdür,mühür,dük,ham
aaekkrrt|karakter,karate,kraker,krater,tekrar,karar,kek
aiiknprs|aspirin,iksir,kirpi,nasip,panik,sinir,pisi
eeknorsv|konserve,erken,evren,keser,korse,sevk,skor
abkklçıı|açıklık,balıkçı,bıçak,bıçkı,kaçık,kılık,kılıç
aklnnouş|kanun,konuş,koşul,koşun,koşu,oluş,loş
aiilopst|istila,ispat,pilot,plato,polis,paso,tipi
ehiimtzç|hizmetçi,hizmet,çizim,çizme,içim,hiç,çim
aenorrst|restoran,senato,noter,sonar,sonra,teras,sera
aadeelrv|dalavere,elveda,avare,devre,larva,dere,deve
eeikklrt|elektrik,kertik,kriket,terlik,erkek,kitle,litre
beiilmrt|belirti,bilim,bilir,birim,bitir,ritim,terim
eiikmsst|misket,mistik,sismik,sistem,tesis,mest,semt
ackpruuz|karpuzcu,karpuz,kupa,kuru,kuzu,ucuz,caz
eiklmsyü|yüklem,yüksel,üyelik,kümes,selim,yükle,mülk
amprtyıı|yatırım,ayrım,ayırt,martı,yapım,yarım,yatır
abhiirst|itibar,tarihi,basit,harbi,ihbar,sihir,tabii
aafmnors|masraf,forma,mason,safra,sofra,form,mors
adgnnyüı|günaydın,yangın,dünya,güya,gıda,dün,gün
ahoprtzı|hazır,harp,zapt,zırh,hop,hız,poz
eiinprst|esinti,espri,pines,prens,serin,siper,tepsi
afknruzü|kurnaz,frank,nüfuz,zurna,farz,ufak,zarf
akklruçı|kukla,kulak,kurak,kıraç,çırak,uçak,uçar
adeinrsz|adres,deniz,dinar,idare,irade,nadir,zinde
adefistü|tesadüfi,tesadüf,ifade,defa,düet,feda,def
aeikmtvy|takviye,ikamet,takvim,kimya,mevki,miyav,vakit
aafhlzıı|hafızalı,hafıza,fazla,hızla,hızlı,halı,haz
aaakmnpy|kampanya,kapama,panama,kapan,kamp,yaka,yap
eiilsvzş|işlevsiz,evsiz,işlev,işsiz,sivil,işle,vize
deeiimny|deneyim,medeni,nedime,deney,deyim,midye,deme
bceiklçö|böcekçi,bekçi,belki,bilek,böcek,çök,çöl
aaclmsğı|masalcı,sağlam,lağım,masal,salam,sağla,amca
efilorst|filtre,steril,fosil,teori,efor,filo,ofis
aabimnsy|sanayi,yabani,asabi,basma,bayan,isyan,yaban
adknrçıı|andır,kaçın,kırın,çadır,çıkar,çıkın,çınar
deekmnoy|komedyen,demek,denek,yedek,yemek,demo,okey
deikmost|komedi,komite,misket,disko,kesim,kimse,dost
deegiknş|endişe,denge,deşik,diken,geniş,eşek,gişe
aabnoyğı|bayağı,banyo,ağın,boğa,bağ,boy,yağ
ablmotış|altmış,batıl,başlı,tablo,boşa,şato,boş
aaekklmr|karamel,kamera,makale,reklam,emlak,kalem,merak
aacknpyı|ancak,kanca,kayın,kayıp,yankı,kapı,pay
aaaklrst|asalak,kartal,salata,taslak,sakat,sara,sar
aabckknı|bankacı,kancık,bacak,bakın,banka,kabak,baca
aklnnopt|plankton,kalp,klon,kont,plak,tok,top
aeeilrtş|ateşle,ateşli,erişte,işaret,reşit,telaş,şerit
deiimrvş|demiri,devrim,erişim,demir,evrim,şimdi,dişi
aknostuğ|konut,kutsa,soğan,soğuk,konu,oku,son
akkllouç|kolluk,kokla,kukla,kulak,çoklu,koku,uçak
aaklortz|aktar,zorla,azat,klor,rota,toz,zor
eegiknnç|çekingen,geçin,çekin,genç,geçe,nene,çene
ahiiklst|istila,lastik,tahsil,ilahi,ishal,sahil,silah
beiilrsz|belirsiz,bilir,bizle,iblis,ileri,rezil,siber
aaaklrçı|aralık,açıkla,kıraç,çalar,çırak,araç,çark
aiiprstz|partisiz,itiraz,ispat,parti,pisi,priz,zapt
ahikllsı|silahlı,haklı,ihlal,ıslah,halk,halı,sahi
nossuuzç|sonsuz,suçsuz,sonuç,susuz,uzun,sos,sus
aadginry|gardiyan,ayran,dinar,gayri,nadir,ring,giy
aakmrstü|karma,rakam,ramak,sürat,tasma,sür,tür
akknçıış|kaçık,kaçış,kaşık,kışın,çıkın,çıkış,ışın
aabehrty|beraat,harabe,hayret,bahar,bayat,haber,hayat
aaakmrrs|karamsar,maskara,makara,aksam,karar,makas,sarma
aiikmnst|intikam,mistik,santim,minik,sakin,sanki,simit
aiknopuç|kapuçino,kupon,panik,puan,kaç,çak,çip
deilmost|melodi,temsil,teslim,model,motel,omlet,dost
aiklmmrı|mimarlık,klima,kırma,mimar,ırmak,mika,kim
aiiklstç|lastikçi,kilit,tilki,ilaç,ilik,çita,saç
beiillms|bilimsel,liseli,belli,bilim,milis,milli,besi
acilnnsı|insancıl,canlı,insan,nisan,acil,cila,cins
aeikorst|askeri,ekstra,eskort,teorik,kesat,korse,kari
aadmnnış|danışman,anında,namına,şaman,dama,maaş,dış
aceeikmr|kemerci,mercek,acemi,cemre,imece,kemer,cami
aaakmrst|astar,marka,sakar,asma,kasa,mars,masa
aehilnpv|halen,helva,levha,panel,pilav,pile,hep
emnoprst|poster,metro,monte,noter,prens,tempo,mest
aadknrış|karşın,andır,aşkın,karşı,kaşar,şarkı,şık
eeirstvy|ertesi,servet,seviye,seyret,seyir,vites,yeter
aabikptş|patika,başak,başka,başta,bitap,tabip,şapka
iikmoprç|mikroçip,mikrop,kirpi,mikro,içim,prim,çim
aaaklrsç|asalak,sarkaç,alçak,salça,çakal,çalar,çal
aaciinsy|sanayici,sanayi,cinsi,isyan,ayna,yasa,can
degiinrt|tedirgin,dergi,getir,gider,girdi,indir,git
aaklnnyı|yakalı,aylak,aylık,layık,yalın,yanak,yılan
alnrssüü|sansürlü,sansür,sürün,süslü,sürü,ünlü,ürün
abklstüı|balık,baskı,batıl,takıl,batı,katı,lüks
eegilnsz|engelsiz,geleni,gelin,nezle,sezgi,gezi,siz
ackknoru|konak,konuk,korku,kucak,kurak,koku,onur
adklmrıı|kaldırım,kımılda,kaldır,kalım,karlı,adım,dram
aceimnsı|sinemacı,sinema,mesai,cins,emin,esin,nice
aagksvzı|kavgasız,kavga,sakız,gaza,saka,vaaz,gaz
aadkmnnu|kumandan,kumanda,damak,duman,kanun,anka,kamu
abimnruz|bariz,biraz,maruz,mazur,uzman,zurna,buz
aadegkmr|kamera,damga,drama,karga,gama,gram,mega
aklmszıı|sazlık,kasım,kısım,kızıl,lazım,ıslık,kazı
ahilsszı|silahsız,hızla,ishal,sahil,silah,ıslah,hız
ahiirstç|tarihçi,tarihi,hariç,ihraç,sihir,haç,hiç
eeimnrsv|seminer,resmen,esmer,evren,evrim,sevin,nere
afiikmrz|fikir,fikri,firma,fizik,kiraz,zarif,farz
ceeeiknt|tenekeci,teneke,ceket,etken,etkin,keten,tekne
aablorst|balta,basar,borsa,tablo,torba,soba,sor
adiiklns|diskli,ladin,sakin,sanki,silik,disk,ilik
deeilmsy|deyimsel,deyim,eylem,midye,sedye,selim,deme
ahloprzı|hazır,zorla,zıpla,harp,zırh,hop,poz
eiiiklrç|içerikli,içeri,kireç,kirli,çekil,çelik,çilek
adelmouğ|doğal,doğma,doğum,model,doğa,doğu,oğul
anrstuuv|turnuva,ustura,surat,tavus,unsur,sunu,unut
aennopst|postane,senato,anons,anten,anne,nane,neon
aeimntty|teminat,tatmin,temin,teyit,titan,yetim,tayt
aikknors|korsan,kronik,konak,sokak,kork,risk,sirk
aikopryç|kopar,kopya,koyar,rakip,çorak,çorap,çip
aikorstş|aktris,taksi,koşa,şato,şort,kor,şok
alopsttu|lotus,toplu,post,tapu,topu,tost,tut
aeiknorv|kervan,ekran,evrak,kovan,avro,kova,nova
deiillmo|melodili,melodi,delil,dilim,milli,demo,idol
abeginrz|bariz,bazen,biner,biraz,ringa,zebra,gazi
adeeilry|yediler,adliye,irade,yerel,yerli,diye,yedi
ekmprstu|mektup,ketum,peruk,serum,kurs,semt,turp
abiilrtı|itibarlı,itibar,bilir,bitir,tabii,tabir,biri
eeiklnns|esenlik,iskele,nesnel,kesin,nesne,sinek,nene
almrtuuy|yumurta,marul,mutlu,tulum,yumru,umut,uyum
aaehlrty|hayalet,hayret,halat,hayal,hayat,hay,her
aelmnors|normal,elmas,mason,moral,orman,selam,mors
aabcsvış|başsavcı,savaş,savcı,avcı,baca,cıva,acı
aaefiknr|aferin,kafein,karina,arena,fakir,frank,fren
aaarsçğı|ağaçsı,sağır,çağır,ağaç,ağrı,ağır,çığ
abekpstı|basket,baskı,kaset,kebap,paket,atkı,beta
egiklnvü|güvenlik,güvenli,güven,ekin,güve,inek,gül
aeinpstt|ateist,patent,tespit,nasip,tepsi,testi,titan
eikmnrsü|kümes,resim,resmi,siren,sürme,küme,menü
aaefilty|faaliyet,afiyet,telafi,fiyat,tayfa,telif,lif
aanstyçı|sanatçı,sayın,sıçan,yanıt,çanta,çatı,çay
biiklmot|kombili,bilim,bitik,bitki,iklim,limit,mobil
agiknost|toksin,gotik,nokta,sakin,tango,tonik,stok
eegiknrs|ergen,erken,esnek,gerek,sergi,serin,sirke
aaeiklnz|analiz,enkaz,kalan,kazan,nazik,anka,ezik
aacrtyıı|yaratıcı,ayrıca,aracı,arıcı,ayırt,yatır,yat
deekmort|dekore,meteor,dekor,demek,metre,metro,tekme
aekmnopt|tampon,keman,maket,mekan,metan,monte,tempo
aekmrttu|market,ketum,krema,turta,tutam,tutar,krem
adlmnouz|dolma,domuz,duman,olmaz,uzman,odun,omuz
adeimnps|madeni,sinema,demin,denim,idman,maden,pide
aabstuış|ustabaşı,başta,satış,şubat,atış,taşı,but
abilmoty|mobilya,tablo,boya,lobi,tabi,bit,boy
eikopprs|espri,korse,siper,peki,pike,spor,pop
ablrçıış|barışçıl,barışçı,aşırı,barış,başlı,çalış,aşçı
aalnorty|oranla,ayran,oyala,oynat,tonla,yarat,olay
aklmzçıı|çıkmaz,kılıç,kızıl,lazım,çıkma,açık,çakı
aaaklprs|asalak,parlak,kasap,lakap,plaka,sapla,apar
abemrttu|amber,barut,burma,tabur,tabut,ebru,tut
abrsszıı|sabırsız,bazısı,arsız,sabır,ıssız,bazı,sır
aiiklrvş|arşivlik,arşiv,kiriş,kirli,varil,viral,şiir
aiinpsty|piyanist,ispat,nasip,tayin,pisi,tipi,pis
adeinrtz|daire,deniz,derin,idare,terzi,zaten,zinde
eeilnsyö|öylesine,ölesiye,öylesi,neyse,söyle,öyle,yön
aefnrrst|transfer,esnaf,etraf,teras,fena,fren,sarf
aaabknty|ayakta,kanaat,tabaka,bayan,bayat,taban,yaban
akllnosu|kullan,kolla,lokal,solak,soluk,okul,oluk
adeikmvş|devam,deşik,kadim,kaide,mevki,diva,mavi
ddeiimnş|şimdiden,şimdi,dişi,mini,diş,nem,şen
aaklntyı|yakalı,aylık,layık,yakın,yakıt,yanık,yanıt
adeemrvy|devre,medya,meyve,yaver,deme,deve,eder
efilnost|fosil,nefis,sefil,filo,font,lenf,ofis
aehmrtuş|meşhur,muhtar,hamur,hurma,meşru,ateş,hem
aalnpstu|sultan,pasta,sapan,sauna,puan,tapu,utan
eiklmtüş|eşlik,işlem,klişe,kütle,şekil,şekli,mülk
adeefkrs|adres,kader,kafes,keder,sefer,defa,feda
egnnrsüü|sürüngen,sünger,sürgün,sürün,günü,sürü,ürün
aiklmstü|lastik,müsait,malik,salim,lüks,stil,süit
aabckkrı|kabarcık,kabarık,aracı,bacak,bakır,bırak,kabak
agknrçıı|kırgın,kıraç,kırın,çıkar,çıkın,çınar,çırak
ainossty|istasyon,isyan,oynat,oysa,soya,sos,soy
agklnsıı|salgın,nasıl,sakın,sanık,ıslık,algı,gına
aabdorzğ|bozar,boğaz,dobra,zorba,ağda,boğa,doğa
adhiinrt|tarihi,hindi,idari,indir,nihai,tarih,dahi
eeklnosy|konsey,yelken,kolye,neyse,yelek,eyle,okey
eeikmpst|misket,kesim,kesme,sepet,tekme,ekim,tepe
aeefinsv|efsanevi,efsane,enfes,esnaf,nefes,sevin,sev
eeilmntş|işletme,enişte,neşeli,etmen,metin,nemli,meşe
aalopryz|parola,pazar,plaza,yazar,zorla,poz,zor
gklmröüü|gömülü,gümrük,kömür,ölüm,ömür,örgü,gök
adeeklnr|derken,dernek,dekan,denek,ekler,elden,ender
eknoptuy|konut,koyun,kupon,topuk,oyun,teyp,topu
abmrstıı|bastır,astım,mısır,sabır,satır,sıtma,sırt
aadlmrzı|damarlı,adımla,arıza,damar,damla,drama,lazım
ekmptuuç|mektupçu,mektup,ketum,kutup,umut,uçuk,çek
aaabbknş|başbakan,akbaba,başkan,başak,başka,anka,baba
aaeiklnr|karina,renkli,arena,ekran,kenar,kari,renk
deilmovö|melodi,dövme,model,video,idol,ödev,öde
aaabiknr|akraba,araban,baraka,araba,bakir,kabin,kabir
aeginorz|organize,organ,ringa,argo,ezan,gazi,gezi
aaabcknş|kabaca,acaba,bacak,bakan,banka,bank,şaka
aakllnoı|olanaklı,olanak,kalan,kanal,kanlı,kolla,lokal
eiimrsvz|verimsiz,evrim,evsiz,sivri,zirve,isim,vize
cdeeilnn|delice,dinlen,incele,cenin,denli,neden,nene
abiiknty|bitkin,bitik,bitki,tabii,tayin,bant,abi
abdluyğı|buğdaylı,buğday,bağlı,bula,bağ,dağ,yağ
bceemnru|mecburen,mecbur,becer,bence,cemre,ebru,ben
aadelnsv|devasa,sandal,avans,dava,deva,vals,veda
aachikrz|harika,arazi,cihaz,harca,kiraz,aciz,kriz
aknoosty|oynat,tokyo,yoksa,oysa,soya,koy,yok
aadlnnyı|yanında,anında,dayalı,adalı,adına,aday,dayı
aakmnpuy|pamuk,yamuk,kamp,kupa,puan,puma,yum
aaefhinş|şahane,haşin,şahin,afiş,ifşa,şifa,şef
aelnorsy|senaryo,aslen,reyon,salon,olay,soy,yol
aalmortz|azalt,olmaz,ortam,tomar,zorla,alto,azat
bgklnuüü|bugünlük,günlük,bugün,günü,ünlü,bul,gül
aabikpry|bayrak,yaprak,kibar,rakip,yakar,bari,para
afimnort|martin,firma,forma,tarif,font,form,rina
cdknoruu|korucu,oduncu,dokun,donuk,doruk,doku,odun
ceelryzü|yüzlerce,yerel,yüzer,yüzle,üzere,yüce,yüz
aadehlpr|derhal,hardal,harap,pedal,daha,harp,paha
bcflotuu|futbolcu,futbol,bulut,tofu,bol,bot,but
eooprstt|protesto,poster,porto,rosto,spot,test,tost
deikmszı|kıdemsiz,kesim,kimse,kısmi,sekiz,dize,kedi
aahkmstü|küstah,aksam,hasat,hasta,makas,saha,tüh
aaikrstt|tarikat,aktris,artist,statik,itaat,taksi,tart
ckoruuçğ|çocuk,çukur,koru,kuğu,uçuk,uçur,çoğu
eeinnpst|nispeten,nesne,pines,senet,sepet,nene,tepe
aadhilrs|dahil,hasar,ishal,sahil,sahra,silah,hadi
eeilmryş|yerleşim,eylem,işlem,yemiş,yerli,yeşil,meşe
kllrtüüü|kültürlü,kültür,tükür,türlü,kül,küt,tür
aaadlrsy|sardalya,ayarla,yarasa,salya,saray,alay,daya
aaceilnp|acilen,panel,acil,celp,cila,icap,cep
aaikrtvz|kravat,arazi,kiraz,taviz,vakit,vaaz,vaiz
aiiklnot|kilit,nakil,nakli,tilki,tonik,kilo,koli
aaahkmnr|kahraman,makarna,harman,makara,karma,rakam,ramak
bceeklrö|böcekler,becer,bekle,böcek,börek,ekler,röle
aadkryğı|dayak,yarık,ağda,ağrı,ağır,dağ,yağ
aachirtı|haritacı,harita,hatıra,harca,hacı,icra,rica
aabdklnu|bakan,bunak,kabul,abuk,bula,buna,dul
deeiltvç|devletçi,devlet,deli,dile,elçi,evet,çete
abehirşş|bahşiş,rahibe,haber,harbi,ihbar,şehir,şişe
aehiilst|istila,tahsil,ilahi,liste,sahte,hile,iste
beegklnö|belge,benek,bölge,göbek,gebe,gök,göl
cdeeeilr|dereceli,delice,derece,derli,lider,reel,dil
aeiimrst|mesai,miras,ritim,simit,temas,terim,mest
akklruuy|kuyruk,kukla,kulak,kurak,kural,uyluk,uyku
aeiklnrs|kanserli,arsenik,aksine,askeri,kanser,renkli,sanki
aafhirty|hayati,fiyat,hafta,ithaf,taraf,tayfa,harf
aafrrstu|tasarruf,fatura,safra,fuar,saat,tura,tur
ahlnorsu|ruhsal,sorun,olur,onur,rulo,soru,hor
aeemnstğ|asteğmen,emanet,teğmen,etmen,metan,senet,semt
adklrıış|alışık,dışarı,kaldır,alkış,dışkı,karış,ışık
aahistyş|hayat,iştah,siyah,şahit,şahsi,yaşa,şah
eekkmprü|mürekkep,ekmek,erkek,kürek,ürkek,küpe,kürk
aimprstu|parti,tamir,prim,puma,rupi,tapu,turp
abglnouv|bavul,galon,olgun,vagon,nova,olgu,oval
aabemnyz|yazman,bayan,bazen,beyan,beyaz,yaban,yazma
adeeikry|dikey,direk,idrak,irade,kaide,kredi,yedek
eiikkkls|eksiklik,keklik,kilise,eksik,kekik,kesik,ilik
aaehlmnv|havale,halen,hamle,havan,helva,mahal,manav
ggrszöüü|görgüsüz,görgü,özgür,örgü,özgü,özür,söz
aadnrvış|davranış,davran,andır,arşın,şınav,şıra,dış
abeiinst|esinti,isabet,basit,besin,sabit,tenis,site
ahlmnoor|hormon,normal,horon,orman,roman,norm,oha
aakmrttı|artık,katır,takım,tarım,akım,atık,atım
aegipstt|spagetti,ateist,tespit,tepsi,testi,pist,test
akkllotu|kolluk,koltuk,kokla,kukla,kulak,lokal,koku
ceiikttü|tüketici,tetik,etik,etki,küt,tek,tik
eeilmnst|temsil,teslim,metin,nemli,selim,temel,temin
akklnouı|kalkın,kanlı,konak,konuk,konu,okul,oluk
aafhnrst|hafta,hasar,rahat,safra,sahra,taraf,harf
aaaalnsy|anayasal,anayasa,aslan,sanal,yalan,ayna,yala
aabnrtzı|abartı,barın,nabız,nazar,ranza,taban,bazı
dklmouuz|dokuz,domuz,kuduz,lokum,dolu,kuzu,omuz
aenoprtv|panter,patron,noter,opera,prova,avro,veto
aeikmptü|empati,ikamet,maket,küme,küpe,ümit,tüp
ceiinpry|peynirci,peynir,incir,peri,pire,cep,iyi
eeilnprs|pelerin,prens,siren,esir,nere,pres,reel
